f,g,C
"(444, 947, 4905690728.551415)","(426, 317, 4836422066.672436)",0.9825512790526716

"(464, 978, 3655445067.768816)","(446, 346, 2683557114.9797363)",0.940378020845808

"(462, 975, 3232568982.518351)","(443, 344, 2390407675.187277)",0.9961382178949579

"(467, 979, 3176505254.155193)","(448, 348, 2949330832.088838)",0.9945950535501671

"(437, 727, 2983873529.973479)","(425, 99, 2390249128.9875684)",0.9903805927094462

"(371, 800, 2611178911.947937)","(358, 172, 1618070831.4870121)",0.9623097188909293

"(434, 727, 2283792652.1826506)","(422, 99, 2208176663.7473145)",0.9902408686105966

"(329, 686, 1730776983.386311)","(316, 54, 1794069988.577282)",0.9781709429604294

"(389, 819, 1608768873.7293577)","(375, 191, 1400698727.3467276)",0.9808708478526145

"(433, 829, 1578500107.6172795)","(418, 202, 1383838178.526616)",0.992945512186443

"(555, 784, 1509162037.804994)","(542, 159, 1062989875.5688238)",0.9911716698869637

"(336, 728, 1444468966.174037)","(323, 97, 1227640098.3413463)",0.9343596100184701

"(440, 945, 1386125025.5845144)","(423, 315, 1035547753.195712)",0.9835300168336774

"(613, 940, 1365629599.246552)","(592, 313, 1024796786.7701204)",0.9899507380351423

"(396, 723, 1225755179.807139)","(383, 94, 1194203611.0412927)",0.9898019994142807

"(550, 972, 1194071261.7403455)","(529, 343, 1116782959.0678053)",0.9766689941173236

"(380, 655, 1160985365.9615605)","(367, 23, 741618612.8345087)",0.9589496892462102

"(334, 730, 1152875176.2711515)","(320, 100, 990483247.1225374)",0.9651220021214139

"(350, 798, 1141880178.05509)","(336, 169, 959050290.7444333)",0.9757624733238887

"(633, 54, 1115322757.9181144)","(470, 905, 239467756.22764614)",0.6093325270662208

"(602, 67, 1108224150.6928782)","(418, 202, 1383838178.526616)",0.8899656015299633

"(622, 808, 1098659657.182635)","(608, 184, 868083190.4371494)",0.9735947399905833

"(519, 991, 1090359293.0829043)","(498, 359, 963413895.3493944)",0.982123364703885

"(438, 945, 1071569028.0393208)","(421, 315, 759712664.7139369)",0.9774427491219028

"(365, 657, 1044963088.1024247)","(353, 25, 817424442.614756)",0.9542600950353194

"(393, 723, 1003126643.9473126)","(380, 94, 1023921401.0127735)",0.9887109679996142

"(547, 974, 998827754.3233409)","(526, 345, 637983789.3749657)",0.9639684689122493

"(564, 329, 975300362.342534)","(326, 192, 363705008.83971673)",0.6714695273479092

"(590, 947, 972306825.8263639)","(569, 319, 665536701.5212836)",0.9871496349616743

"(437, 747, 952563665.765045)","(424, 119, 708795164.7214365)",0.9435051838853523

"(551, 145, 933331088.0528924)","(593, 622, 545431277.0632427)",0.7324166904369014

"(352, 789, 928804653.2336982)","(338, 160, 679618886.9750628)",0.9797764931898103

"(448, 986, 910087832.0680884)","(429, 354, 1166436912.4165168)",0.9919333677621993

