y,x,NCC
444,947,5037715093.039709
464,978,3735596143.3943834
462,975,3343582291.516386
467,979,3225003062.2278347
437,727,3051318118.596015
371,800,2630139492.643446
434,727,2341112479.9554987
329,686,1762586688.5776088
389,819,1648602730.2759185
433,829,1607618933.325852
555,784,1540579765.476923
336,728,1484919112.6024055
573,175,1473373864.1560385
441,945,1381059999.2379718
613,940,1378865261.9950123
557,782,1310483436.5162053
396,723,1242797612.3151598
550,972,1221453838.9893723
380,655,1187615119.4515817
334,730,1180917385.5784893
350,798,1152092813.9128914
633,54,1139419186.2991452
602,67,1129648340.8428388
622,808,1122888966.966342
519,991,1121743652.7902586
438,945,1099920170.9804676
365,657,1076343470.8547635
547,974,1027518587.55481
393,723,1016230084.9121578
590,947,998308141.448612
564,329,978903274.9236938
437,747,969902976.3280635
352,789,958889826.9224246
551,145,958198625.9510202
381,653,956640637.3120743
549,117,933467886.667793
448,986,920881963.2521338
621,931,915464611.5983347
351,742,913630039.8210945
708,165,907012363.5648317
617,933,892620736.039494
347,743,890438147.5455691
606,770,885080324.1150461
404,533,882937882.0818319
440,406,876542659.7518332
581,791,864000013.2846138
432,760,860292294.8491819
495,648,807833643.7754076
436,743,795086248.2840221
352,795,791436491.2341373
576,55,782172875.6913726
452,942,778253795.5757308
369,721,777835090.5128543
548,139,763573645.0510257
410,965,742634583.3772906
580,44,738036428.6229215
411,933,732027018.1295388
377,912,722795438.1985397
451,829,719696672.4765353
361,898,704162737.348547
555,964,643837292.9145166
324,709,635629580.6814492
613,729,632465407.9715822
565,699,631419507.0243578
566,987,627207125.6698389
596,944,602219633.5764556
458,835,601318780.6700224
388,810,599264417.5860841
424,964,598872263.8999054
566,907,596792277.9797261
448,902,591404497.878521
330,711,584531374.919214
355,789,579877803.5490744
346,779,578032084.5203488
543,69,563432237.9440804
333,789,562980843.285173
505,935,557341345.605762
411,672,554751397.6452985
576,981,549534240.1661028
566,792,549262894.0898814
710,797,547238295.8160598
643,932,546700607.4331797
568,124,542633173.3038967
636,937,535504987.79560214
299,555,532108427.6783099
610,951,526908100.078204
602,756,524556968.90720147
422,659,522423696.6917811
610,651,518800802.98819494
360,814,515326347.53243953
360,793,514149451.7041775
552,139,512306269.0090794
599,809,505320113.4567248
589,891,501159235.2811813
609,941,499404390.6404977
434,961,498700562.73584265
394,522,497672552.6711389
670,431,495669044.9551544
392,519,493620480.33696806
380,800,489918251.2817527
552,988,489078763.7787727
569,930,488218648.7757679
591,817,487968627.8819883
573,982,485539820.6332902
432,780,483427361.94768816
364,887,483110026.72231185
364,794,479558158.13839746
712,169,477537259.30779314
408,665,475010344.8005203
494,848,470960457.30396473
562,904,469945744.7160206
386,797,467038968.9156217
429,776,466922787.6238357
413,973,462674489.92095435
433,948,462628452.21087736
409,971,460164284.01789534
617,727,459361405.862611
380,827,456947116.403027
397,386,453990043.5806677
430,866,448809669.5126085
647,979,447784019.30347806
381,797,445747388.1937659
523,992,443915273.2187947
608,808,441693122.9752815
614,780,435450967.9956749
385,837,429094247.93288183
481,969,428215348.04098326
438,751,424288481.7374762
354,798,417094644.11369896
594,804,414167275.7223947
664,122,411241637.00457454
441,51,409522132.18125165
583,947,409137810.36473244
601,802,407332607.8620273
371,724,406632948.1153598
435,197,405949395.2212709
620,950,403177000.62612724
285,694,400743259.95145357
663,936,398651006.8152683
389,881,398258427.0713545
352,671,395750554.40368235
363,466,395012230.1477587
436,440,392802239.0670678
437,736,391508693.0163301
331,871,391123650.7261734
480,973,390966046.2432438
324,715,388244019.13077766
370,888,384261935.14947045
552,962,382011043.8162377
428,927,379483042.9405459
612,741,375130636.46988875
557,909,374157499.13817114
592,807,368543592.74707514
627,52,368023024.1945028
414,673,367643994.24610204
605,755,367446611.92840934
578,789,364133185.6855154
340,821,363837655.475198
586,750,363086813.361556
537,667,362274536.4938506
343,854,361835715.9800338
377,245,360640786.0972164
372,656,358376934.3661246
339,816,357948197.73522246
391,749,356529507.32396054
375,919,353709204.2431511
524,824,353132654.0179659
412,885,349942295.7396274
470,854,349377599.0459212
344,782,348327681.16300946
447,74,345313379.9481261
367,179,341306846.6964587
403,864,340976669.68718886
557,981,334977587.24093425
434,713,334871145.1330705
353,867,333763322.8754679
390,793,333700464.17411524
303,748,329076995.28399557
583,748,326390805.16335356
731,767,326226216.32069945
597,837,324574720.68880486
538,66,323940191.48348844
336,718,323334485.1956003
467,671,314888445.8063439
389,963,314870875.3789891
380,919,313314340.6400774
428,781,310872240.1612261
421,926,310626304.2932385
278,465,309817221.8132887
576,787,307880543.72605777
294,802,307401580.7215908
498,569,304269824.7508756
423,672,301888341.0693105
434,355,301319750.84017503
361,340,300240592.9349231
487,757,300051124.7151832
362,770,299062514.7322904
387,794,298594098.9225934
555,989,297627008.37106824
384,923,297055920.2383047
280,701,296161041.1309207
352,784,292093890.454955
278,693,290507974.9707322
424,786,289823709.1020919
391,786,286016625.42679834
596,810,283871588.4921572
498,651,283184474.1778256
410,160,282630283.75652707
624,795,278273028.98683804
422,784,278034225.15324986
379,900,277592881.49116015
580,803,276479443.4259108
312,672,275040454.71817183
415,975,274269755.9750556
378,959,272574577.53444254
691,795,271628150.93335384
393,714,269603048.2694059
662,713,269456969.1817444
449,646,269310171.94875383
367,916,267605918.19099212
390,946,267308296.62490755
638,690,261118110.14521933
370,763,260737385.40718266
445,696,259319039.4186273
480,645,258399244.86471832
356,764,254426879.65038148
530,713,252963258.26757097
699,735,252896398.909022
364,714,249310433.92157206
525,770,248894451.21073213
739,198,247822778.78582507
462,750,247059089.7150043
367,794,244006485.64925912
394,785,242239456.8359128
468,731,240101640.33638483
299,764,237472784.6894573
364,172,236894320.6400713
428,788,234752581.72379804
425,760,234147589.95729098
433,787,233060217.97529727
438,962,232701510.26184678
357,721,232015498.2063663
501,817,231273412.18022034
593,146,229398563.35598958
327,429,228299753.52001268
537,819,226518879.56936994
527,701,226073426.29995197
295,560,225764341.38141692
460,336,223600901.22645307
487,640,223526114.4268264
390,978,223319034.6865657
468,770,218273756.84791622
499,130,217646235.8371176
