y,x,NCC
426,317,4973779376.979412
446,346,2769662056.1925774
443,344,2470740033.258998
448,348,2996728055.9492426
425,99,2438411297.349165
358,172,1640567013.3750014
422,99,2259963152.5176444
316,54,1845798964.8928463
375,191,1428948241.8278513
418,202,1401178478.8033433
542,159,1086415484.2589617
323,98,1249703201.1077251
512,469,310096942.33864266
423,315,1052614538.4433397
592,313,1029042326.2879958
543,156,821525923.3669839
383,94,1214973140.4912066
529,343,1147439069.823896
367,23,759025053.0420728
320,100,1009762296.4493028
336,169,973142294.1131932
470,905,244416067.06383047
418,202,1401178478.8033433
608,184,881345774.5913892
498,359,992869954.6594523
421,315,772260046.7133467
353,25,838198994.9516649
526,345,658310866.9303318
380,94,1046882040.0593045
569,319,684305428.5029395
326,192,371019571.20231456
424,119,722752999.2262441
338,160,698262238.2823007
593,622,550638287.6197937
370,20,608310760.0038593
466,721,313603827.4190125
429,354,1189621196.42761
600,304,603165337.1408129
338,113,865752692.0299335
346,268,712305165.3446842
596,306,734780642.8146267
334,113,877880600.8304276
594,146,690025117.7112005
410,49,293017613.7236038
298,39,302517932.83228016
568,166,686990932.3364394
419,133,906810702.1167915
486,17,680396210.285396
424,115,751968114.258595
338,166,1099240382.1394768
735,977,529837774.0743103
434,312,477237790.2496603
356,91,712751850.6828711
574,578,1102947013.6473145
393,334,616048664.6968541
535,956,239471433.2058527
394,303,602267671.5653882
362,282,668521145.2449868
436,202,548429529.6872741
346,268,712305165.3446842
534,335,414584254.7429074
311,78,706422055.7816466
603,104,571345392.307903
556,72,429545020.6278219
544,357,558331645.8526466
575,316,437390809.8397394
443,208,416141625.1813284
374,182,561822999.9087942
407,333,349766911.70205176
547,281,400547157.0122126
431,274,537910304.7131059
317,80,508200875.46803606
341,160,498373771.40590644
332,150,727181973.4255795
399,41,595882263.0237265
319,160,509483341.672428
486,307,455268443.2913173
399,41,595882263.0237265
554,351,468341065.43700933
552,167,430521135.8438867
696,174,440086500.8324548
621,306,379788338.0145313
474,978,569372221.2609377
614,311,468262437.4950795
474,560,295216890.1575955
588,323,377716454.9198268
590,131,320689116.6723958
411,28,545939932.3657181
604,23,407453354.4846582
346,186,452298348.54898757
346,164,416123078.9402486
507,647,287777237.3510418
585,185,368821684.77992713
571,266,303640235.646937
588,314,336781515.52618635
416,330,419225270.9943757
685,500,466700889.1150164
457,656,1134986679.7785797
527,648,335064971.55931103
366,172,443640353.9695349
530,358,277743488.00149393
549,303,356343606.7318357
577,192,316309499.83579445
551,351,416527128.30575
418,153,568914956.5562023
349,258,331036311.75175714
350,165,450781555.56317484
436,396,1113201516.4532413
397,33,494530816.232345
479,222,407653581.7950626
543,277,361799155.72076416
372,169,319698634.6783644
415,149,440695286.37055373
396,341,329778358.76462305
416,318,429874225.3125151
392,338,451623453.0529152
607,102,437425416.243806
365,199,367083743.8200368
710,456,672594809.259381
414,238,357679305.24697745
623,350,393066518.30491745
367,169,317579169.46043074
502,361,344192752.5637902
593,184,358334831.1888255
601,156,347423414.7494675
